date,spends_search,spends_social,spends_tv,spends_display,revenue
2023-07-03,7641.562811825659,5026.897887642064,13594.614132748682,4506.910149700004,298.17173693824117
2023-07-10,9290.97379155202,4226.739396097668,16431.873416502167,4959.658120361946,308.0657591928274
2023-07-17,7687.059950263645,4425.769822104811,16126.8332537852,4643.055607548489,281.55865104641373
2023-07-24,8346.080847282523,5358.500100816301,19880.328851946233,4931.264762342045,326.52163422625233
2023-07-31,7062.863200168117,5558.091223271627,17291.08944734369,6121.8811424974465,318.7266918844053
2023-08-07,8695.5945150425,5792.394544585092,20612.45892540488,4615.281877568239,328.21987269394356
2023-08-14,7186.962044979386,5075.800461706235,16944.246061679736,4612.094105768799,300.5723710206782
2023-08-21,8277.606465159142,5655.217023558219,15274.750089376403,4915.022914536806,323.98035112732015
2023-08-28,7888.870393447063,6584.019838042594,23750.351038319248,8023.519307001587,349.94980708777246
2023-09-04,7929.244739854629,5425.089680482432,14827.369839100646,5938.882864642203,324.1215940935019
2023-09-11,6814.360001886697,5966.526977848195,18210.628753388108,5738.555243807926,322.2344061031873
2023-09-18,8526.835463486152,6561.720216991467,19651.572190493345,5219.840061714189,333.9253739011217
2023-09-25,6148.125648120264,6235.685430926794,20305.581837862585,7384.675848687543,317.7369534195965
2023-10-02,7672.977013534728,7631.957709971075,19606.379787133825,5224.661284617026,340.93070438404646
2023-10-09,6782.5932982899585,6375.154635557611,27323.323246258344,5491.1105101915755,326.50234196387373
2023-10-16,11922.362671288414,6392.327592100214,24015.28975196142,6371.128635742957,351.01822866244004
2023-10-23,7664.268004371628,7252.446496853675,20102.428643497457,6428.6987699970405,362.0865181843317
2023-10-30,7519.307970580694,6426.971799574473,18848.68321808384,6217.770019287945,324.6158242678637
2023-11-06,9783.127942130019,7740.844495985564,21840.30332976635,6285.794871956514,357.85962787355584
2023-11-13,9670.274446885282,7937.612208907717,21214.114632058016,6902.837112308102,389.5404097212004
2023-11-20,8905.603633039236,9446.686453141778,22867.646940105406,5183.056726890847,376.2168050816818
2023-11-27,7354.451592596842,9714.096518632163,27552.910617284666,5824.119311015276,379.48389669233956
2023-12-04,8488.8127824874,9610.494444683653,19604.393751254906,5288.767923160273,394.2003822814748
2023-12-11,9853.268861313443,7767.922689729531,22312.613504990197,5703.4227657948495,381.82129809876574
2023-12-18,9749.895480446037,9717.589245124953,22459.163727782798,6197.643515487055,398.3874966870731
2023-12-25,7514.277493114633,8204.322500111022,19938.919659055453,4881.90811101499,384.94503141895325
2024-01-01,8874.1700493467,7953.825217152004,24407.00541683412,4741.820996431434,372.1160039530321
2024-01-08,10147.490763631387,7819.868083749045,20799.487584058003,6164.798823591833,379.44205743547
2024-01-15,11047.66502502443,9718.976980645193,20974.839931319773,4939.975888435424,404.68357401399385
2024-01-22,10316.121676480407,8494.03015194451,21523.854208969744,4631.155055887117,413.56156143127384
2024-01-29,10946.039033807907,8433.657644377128,28074.54151222806,6489.890766048529,384.06355600553474
2024-02-05,9971.361874102435,7868.949924146675,17130.295633418722,4742.697027837824,344.4192328632973
2024-02-12,11684.327034121265,9325.660221686812,18390.11931434953,4628.318462438416,414.4460483138858
2024-02-19,8838.511960774875,7825.7225401825435,17358.35911019571,4624.929435750859,360.39120025144837
2024-02-26,10443.961394161157,7790.0780343064525,15683.561538125196,4074.396623493758,362.73938892855733
2024-03-04,15167.533481174636,6655.383410544362,16675.51387135462,5982.292090330931,381.5843149049755
2024-03-11,16819.379335929272,6644.6169162947845,17881.427796275046,4948.766743021059,343.54738909194896
2024-03-18,14723.841121402984,6681.8630075887595,17843.81214640069,5174.218563182851,346.7322708431835
2024-03-25,12680.788132060292,7066.050381133043,17801.420605814852,3976.5596836092295,338.5282630106166
2024-04-01,11740.013209919296,7032.676584756019,18337.03529535365,4378.510728369973,346.62134814288123
2024-04-08,12802.15777553674,8052.065439854558,17944.394669600602,4887.051507192584,380.2629840150049
2024-04-15,12166.061418794874,7003.3146541929445,15987.079346445122,4886.828140544885,368.8505580335569
2024-04-22,11913.521873481865,8846.064846908375,20892.619623570517,4963.937778496165,389.9578829050857
2024-04-29,10943.529811619625,5921.157980282001,19855.90349522468,4942.278515680217,330.9823114617691
2024-05-06,12614.715161852519,5403.673954080164,19197.45815593484,5125.034043989925,311.74550485489243
2024-05-13,10329.318189581996,6207.77062746617,17745.675360591715,4962.484664165263,340.9831408877061
2024-05-20,11272.256461135014,6409.786871425122,16750.4540943419,5115.8509988506885,339.9248697696428
2024-05-27,13755.877183412149,4722.525913432595,16904.081778137905,5237.012186876615,337.5075701720239
2024-06-03,11779.567610209237,6100.364328430729,14232.793859107633,5453.326020507904,351.29246528259125
2024-06-10,13773.626942004354,5282.180923623103,19752.924944103695,5161.051540871518,339.8744761172933
2024-06-17,10931.213628629423,5587.102859528781,17382.853496330088,6432.072062942729,349.47135586987065
2024-06-24,11606.095903825937,7816.21624975971,21227.60874774773,5949.896458393302,372.0327936738614
2024-07-01,13103.855638173873,6723.964804173205,20777.454346502032,5588.969804584935,369.619032919852
2024-07-08,10520.54148421608,5912.813377363709,21661.018400289213,5158.554467352935,335.7837764119151
